,Supplier_Lead_Time,Inventory_Levels,Order_Frequency,Delivery_Performance,Cost_Per_Unit
Supplier_Lead_Time,1.0,0.22965653442807574,-0.8608372939562419,-0.8704651506141863,0.937367581868699
Inventory_Levels,0.22965653442807574,1.0,-0.05697389768210307,-0.17761582122786737,0.23012167754990076
Order_Frequency,-0.8608372939562419,-0.05697389768210307,1.0,0.7372172598388376,-0.81702598852172
Delivery_Performance,-0.8704651506141863,-0.17761582122786737,0.7372172598388376,1.0,-0.859284405261141
Cost_Per_Unit,0.937367581868699,0.23012167754990076,-0.81702598852172,-0.859284405261141,1.0
